fact_checker,date,location,label,title,explanation,claim_originated_by,url_checker
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,false,Typing *#21# on your cell phone lets you know if you’re being spied on because of COVID-19 geolocation measures in Quebec.,This codes lets you know if call forwarding is activated.,Facebook,https://ici.radio-canada.ca/nouvelle/1694359/etoile-diese-21-code-espionnage-pistage-telephone-police-covid-19-coronavirus-sq
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,misleading,Coronavirus was created in a lab in China in 2013.,The virus created in 2013 was a combination of two influenza viruses.,Facebook,https://ici.radio-canada.ca/nouvelle/1694508/virus-chine-lien-aucun-coronavirus-decrypteurs
Agência Lupa,2020/04/22 ,Brazil,false,"Video of an FBI raid. In the captions, it says the agents were seizing Chinese N95 masks that were contaminated with COVID-19.",The N95 shown in the video were seized because they were being ilegally hoarded by an American individual. They were distributed to hospitals in New York City after this incident.,Facebook posts,https://piaui.folha.uol.com.br/lupa/2020/04/22/verificamos-fbi-mascaras-coronavirus/
Maldita.es,2020/04/22 ,Spain,false,"Photographs of killer whales allegedly taken in El Médano, Tenerife during confinement by the coronavirus.","None of the photographs of orcas related to Tenerife is current and one of them was not even in Tenerife, it is related to Hawaii.",Social media,https://maldita.es/malditobulo/2020/04/22/no-estas-fotografias-de-orcas-que-se-difunden-como-tomadas-en-el-medano-tenerife-no-son-actuales/
Vishvas News,2020/04/22 ,India,false,You should wear the colored side of the mask on the outside when you are sick and the white side on the outside when you are healthy.,The online post misrepresents how to wear a surgical mask. The post claiming you should wear the colored side of the mask on the outside when you are sick and the white side on the outside when you are healthy is fake.,Facebook,https://www.vishvasnews.com/english/health/fact-check-fake-online-post-misrepresents-how-to-wear-a-surgical-mask/
Estadão Verifica,2020/04/22 ,Brazil,false,"Mix of jambu, lemon and garlic does not heal covid-19.","There is yet to be found a medicine, food or vaccine against coronavírus. All home recipes are false and may endanger the general population.",Facebook posts,https://politica.estadao.com.br/blogs/estadao-verifica/receita-caseira-com-jambu-alho-e-limao-nao-cura-a-covid-19/
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,false,The Canadian federal governement gives 756 $ to every citizen.,The link to sign up for this program leads to a gorilla photo.,Facebook,https://ici.radio-canada.ca/nouvelle/1694856/indemnite-prime-confinement-gouvernement-federal-canada-vrai-faux
Agência Lupa,2020/04/22 ,Brazil,false,"A video shows an empty hospital. It states that, although Globo said there were already 7 patients at a temporary COVID-19 hospital built in Fortaleza, Brazil, the video proves it is still not working.","This video was originally published on April 17, while the hospital was still not open. It did open on April 18, and on that day, a story run by TV Globo stated that 7 patients were transfered to this institution. There were 25 patients in this improvised hospital on April 22.",Facebook posts,https://piaui.folha.uol.com.br/lupa/2020/04/22/verificamos-hospital-fortaleza-nao-tem-pacientes/
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,false,Coronavirus was created from HIV.,The similarity between coronavirus and HIV is minimal and does not indicate any human manipulation. coronavirus has similarities with many viruses.,Luc Montagnier,https://ici.radio-canada.ca/nouvelle/1695718/coronavirus-sras-cov2-vih-sequence-luc-montagnier-faux
AFP,2020/04/22 ,"United States, Canada, Australia",false,Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.,"The claims are false; immunization is not compulsory in most Australian states and Canadian provinces, while exemptions can be obtained in the United States as well as Canada’s Ontario and New Brunswick.",FB,https://factcheck.afp.com/false-advice-refusing-vaccines-circulates-during-covid-19-pandemic
La Silla Vacía,2020/04/22 ,Colombia,false,Colombia is the country with less cases and deaths for coronavirus per inhabitant in America.,Colombia is the third country with less cases and deaths for coronavirus per inhabitant. Under Mexico and Argentina.,Facebook,https://lasillavacia.com/detector-no-colombia-no-tiene-tasa-mas-baja-america-muertos-y-contagiados-covid-19
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,partly false,Coronavirus was created in a lab in China.,"Claims about human manipulation of the virus have been debunked several times. Also, the documentary is produced by an openly anti-Chinese government organization.",Epoch Times,https://ici.radio-canada.ca/nouvelle/1695832/covid-19-attention-inexactitudes-documentaire-epoch-times
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,false,Criminals give contaminated masks from door-to-door to make people fall asleep and rob them.,Police confirms no such crime has been reported.,Facebook,https://ici.radio-canada.ca/nouvelle/1693905/covid-19-cambrioleurs-masques-empoisonnes-endormir-saint-jerome
